codeINSEE,communeINSEE,codePostal,latitude,longitude,departement
67462,SELESTAT,67600,48.2481136279,7.46224896454,67
59043,BAILLEUL,59270,50.7274252798,2.7379912081,59
83045,CORRENS,83570,43.4864185627,6.06826217623,83
85191,LA ROCHE SUR YON,85000,46.6675261644,-1.4077954093,85
88160,EPINAL,88000,48.1631202656,6.47989286928,88
07204,ST AGREVE,7320,45.0052980637,4.41285687419,7
44143,REZE,44400,47.1762338904,-1.54966399893,44
64102,BAYONNE,64100,43.4922254016,-1.46607674358,64
17306,ROYAN,17200,45.6346574238,-1.01791403375,17
91665,LA VILLE DU BOIS,91620,48.6610194975,2.26503430984,91
17300,LA ROCHELLE,17000,46.1620643972,-1.17465702836,17
33417,STE HELENE,33480,44.9726615806,-0.913525242529,33
91132,CHAMARANDE,91730,48.5167739657,2.21800082924,91
12202,RODEZ,12000,44.3582426254,2.5672793892,12
89073,CHAMPIGNELLES,89350,47.7800283506,3.07775894136,89
18279,VIERZON,18100,47.2368836077,2.0790757049,18
24273,MOLIERES,24480,44.8119248894,0.82474050426,24
14333,HONFLEUR,14600,49.4129449727,0.237579361279,14
07145,LUSSAS,7170,44.6192177092,4.46630461903,7
24037,BERGERAC,24100,44.8543751872,0.486529423457,24
57338,HOTTVILLER,57720,49.0782664216,7.35808063345,57
71295,MERVANS,71310,46.7945134241,5.18412548455,71
73024,LES AVANCHERS VALMOREL,73260,45.4607199042,6.44362178612,73
85155,MOUILLERON LE CAPTIF,85000,46.7104764993,-1.46129661418,85
45142,FAY AUX LOGES,45450,47.9326007256,2.16025043268,45
78551,ST GERMAIN EN LAYE,78100,48.9407041394,2.09870929375,78
80685,ROYE,80700,49.6936899931,2.78868757676,80
66141,PIA,66380,42.7487012331,2.91497381059,66
24352,RIBERAC,24600,45.2457883325,0.334782848632,24
29027,CHATEAUNEUF DU FAOU,29520,48.1889732859,-3.82126129764,29
34179,MURVIEL LES MONTPELLIER,34570,43.6095675101,3.73935842429,34
33243,LIBOURNE,33500,44.9130767869,-0.234709332068,33
44103,MONTOIR DE BRETAGNE,44550,47.3232368527,-2.1467366036,44
34187,OLARGUES,34390,43.540135455,2.91772316116,34
10018,AUXON,10130,48.0923181622,3.92346188322,10
45203,MEUNG SUR LOIRE,45130,47.8397230739,1.69811579508,45
77335,CHAUCONIN NEUFMONTIERS,77124,48.9719332783,2.83158634864,77
62386,GRENAY,62160,50.4496814864,2.74513302656,62
74276,TANINGES,74440,46.1265071577,6.60770716363,74
14338,HOULGATE,14510,49.2974071263,-0.0677562139709,14
25332,LAVERNAY,25170,47.2443013496,5.81882619384,25
13005,AUBAGNE,13400,43.2934843764,5.56331273477,13
91471,ORSAY,91400,48.7004093953,2.18737051177,91
24096,CHAMPAGNAC DE BELAIR,24530,45.400469208,0.69507098451,24
34108,FRONTIGNAN,34110,43.4482458873,3.74923522416,34
84091,PIOLENC,84420,44.1774697051,4.76585289056,84
40197,MORCENX,40110,44.0410936254,-0.888623636398,40
48080,LANGOGNE,48300,44.7237405653,3.83363110341,48
33016,ASQUES,33240,44.948000841,-0.426140042682,33
26064,CHABEUIL,26120,44.9082255842,5.00743034189,26
31149,COLOMIERS,31770,43.611551508,1.32700218407,31
34344,LA GRANDE MOTTE,34280,43.5685394142,4.0758328467,34
59606,VALENCIENNES,59300,50.3588666163,3.51567664819,59
40201,MUGRON,40250,43.7412885635,-0.752690282166,40
48061,FLORAC TROIS RIVIÈRES,48400,44.3162079295,3.58273527435,48
48095,MENDE,48000,44.5294508592,3.48086881176,48
17077,CERCOUX,17270,45.1273503043,-0.207698631448,17
18145,MENETOU SALON,18510,47.241732115,2.49021091816,18
14437,MONDEVILLE,14120,49.1693649378,-0.310691187417,14
72059,CHANTENAY VILLEDIEU,72430,47.9198250308,-0.154140183084,72
14762,VIRE NORMANDIE,14500,48.8512498219,-0.889601911342,14
94080,VINCENNES,94300,48.8473732045,2.43798650741,94
97311,ST LAURENT DU MARONI,97320,4.96474398632,-53.9832113662,973
67150,FURDENHEIM,67117,48.6105637831,7.55789773047,67
40192,MONT DE MARSAN,40000,43.899361404,-0.490722577455,40
04070,DIGNE LES BAINS,4000,44.0908723554,6.23590323452,4
79057,BRIOUX SUR BOUTONNE,79170,46.1418337503,-0.218953610699,79
19042,CHANTEIX,19330,45.3124205901,1.6226623783,19
41269,VENDOME,41100,47.8013026692,1.06106057175,41
95205,ECOUEN,95440,49.0260643173,2.38485695599,95
37022,BEAUMONT EN VERON,37420,47.1939476684,0.186243013287,37
95500,PONTOISE,95300,49.0513737853,2.09487928948,95
24026,BASSILLAC,24330,45.1789592433,0.820956969026,24
13103,SALON DE PROVENCE,13300,43.6462885238,5.06814649576,13
68154,ILLZACH,68110,47.7734992,7.36011136903,68
22362,TREGUIER,22220,48.7850465816,-3.23178776538,22
38130,LA COTE ST ANDRE,38260,45.3834360946,5.26068376928,38
97411,ST DENIS,97400,-20.9329708192,55.446867167,974
97209,FORT DE FRANCE,97234,14.6411114389,-61.0691889244,972
57666,TERVILLE,57180,49.3465483422,6.13220160083,57
